id,l1,l2,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price
39331,Argentina,Capital Federal,Villa Crespo,2,1,1,43,41,65000
39332,Argentina,Capital Federal,Palermo,3,3,3,135,120,850000
39333,Argentina,Capital Federal,Palermo,3,2,2,98,77,310000
39334,Argentina,Capital Federal,Palermo,4,3,3,115,107,350000
39335,Argentina,Capital Federal,Palermo,2,1,1,33,33,95000
39336,Argentina,Capital Federal,Palermo,2,1,1,64,48,130000
39337,Argentina,Capital Federal,Palermo,1,1,1,50,46,122000
39338,Argentina,Capital Federal,Palermo,2,1,1,52,52,190000
39339,Argentina,Capital Federal,Palermo,2,1,1,36,36,120000
39340,Argentina,Capital Federal,Palermo,1,1,1,,25,64000
39341,Argentina,Capital Federal,Palermo,1,1,1,37,34,109000
39342,Argentina,Capital Federal,Palermo,2,1,1,47,41,137000
39343,Argentina,Capital Federal,Liniers,2,1,1,39,39,69000
39344,Argentina,Capital Federal,Coghlan,2,1,1,43,40,139000
39345,Argentina,Capital Federal,Palermo,1,1,1,34,32,87000
39346,Argentina,Capital Federal,Coghlan,2,1,1,53,38,115000
39347,Argentina,Capital Federal,Almagro,2,1,1,51,51,83000
39348,Argentina,Capital Federal,Nuñez,2,1,1,44,42,129000
39349,Argentina,Capital Federal,Nuñez,2,1,1,40,39,99000
39350,Argentina,Capital Federal,Nuñez,2,1,1,47,41,135000
39351,Argentina,Capital Federal,Flores,2,1,1,48,45,110000
39352,Argentina,Capital Federal,Abasto,2,1,1,33,30,68000
39353,Argentina,Capital Federal,Once,2,1,1,48,48,58000
39354,Argentina,Capital Federal,Boca,2,1,1,54,50,55000
39355,Argentina,Capital Federal,Barrio Norte,1,0,1,,,85000
39356,Argentina,Capital Federal,Saavedra,1,0,1,,,124500
39357,Argentina,Capital Federal,Almagro,2,1,1,41,39,84000
39358,Argentina,Capital Federal,Palermo,5,4,2,187,154,500000
39359,Argentina,Capital Federal,Palermo,1,1,1,25,23,78500
39360,Argentina,Capital Federal,Palermo,2,1,1,42,42,115000
39361,Argentina,Capital Federal,Puerto Madero,6,5,4,,,1350000
39362,Argentina,Capital Federal,Belgrano,6,5,3,302,242,695000
39363,Argentina,Capital Federal,Puerto Madero,6,4,4,426,426,4000000
39364,Argentina,Capital Federal,Barrio Norte,5,4,2,187,154,500000
39365,Argentina,Capital Federal,Barrio Norte,5,4,3,213,189,468000
39366,Argentina,Capital Federal,Recoleta,6,4,2,240,230,680000
39367,Argentina,Capital Federal,Palermo,4,3,4,147,129,390000
39368,Argentina,Capital Federal,Barracas,6,4,2,289,289,470000
39369,Argentina,Capital Federal,Palermo,4,4,3,311,290,3300000
39370,Argentina,Capital Federal,Recoleta,2,1,1,42,42,145000
39371,Argentina,Capital Federal,Palermo,2,1,1,39,38,118000
39372,Argentina,Capital Federal,Recoleta,2,1,1,50,50,180000
39373,Argentina,Capital Federal,Recoleta,2,1,1,,47,99000
39374,Argentina,Capital Federal,Belgrano,2,1,1,44,44,180000
39375,Argentina,Capital Federal,Belgrano,2,1,1,46,36,109000
39376,Argentina,Capital Federal,Belgrano,1,1,1,32,29,98000
39377,Argentina,Capital Federal,Belgrano,2,1,1,47,41,169000
39378,Argentina,Capital Federal,Belgrano,2,1,1,74,74,250000
39379,Argentina,Capital Federal,Barracas,2,1,1,36,,56000
39380,Argentina,Capital Federal,Palermo,2,1,1,42,38,140000
39381,Argentina,Capital Federal,Palermo,2,1,1,45,35,120000
39382,Argentina,Capital Federal,Palermo,2,1,1,61,56,190000
39383,Argentina,Capital Federal,Recoleta,2,1,1,,48,125000
39384,Argentina,Capital Federal,Nuñez,6,4,4,455,455,2950000
39385,Argentina,Capital Federal,Recoleta,5,4,2,130,125,339000
39386,Argentina,Capital Federal,Puerto Madero,4,3,4,,234,1470000
39387,Argentina,Capital Federal,Palermo,4,3,3,189,,525000
39388,Argentina,Capital Federal,Palermo,4,3,2,119,110,285000
39389,Argentina,Capital Federal,Villa Pueyrredón,4,3,1,78,72,131900
39390,Argentina,Capital Federal,Belgrano,6,,,276,245,740000
39391,Argentina,Capital Federal,Belgrano,1,,1,33,31,99000
39392,Argentina,Capital Federal,Almagro,1,,1,26,26,60000
39393,Argentina,Capital Federal,Almagro,1,,1,42,38,129000
39394,Argentina,Capital Federal,Almagro,1,,1,41,38,99000
39395,Argentina,Capital Federal,Palermo,3,3,2,67,59,209000
39396,Argentina,Capital Federal,Palermo,4,,2,,,320000
39397,Argentina,Capital Federal,Palermo,4,3,2,130,130,420000
39398,Argentina,Capital Federal,Palermo,4,3,1,68,68,210000
39399,Argentina,Capital Federal,Palermo,4,3,2,87,87,250000
39400,Argentina,Capital Federal,Palermo,1,,1,40,31,196000
